Year,Questions,Marks,Topic,Subtopic,Mark Scheme,Mark scheme K,Mark scheme Ap,Mark scheme An,Page,Check,
Jan 2022,Assess the likely impact of price comparison websites on supermarkets in the UK.,10,marketing mix and strategy,,,,,,11,TRUE,22
Jan 2022,"Evaluate the extent to which Nike’s distribution strategy is likely to contribute to its
future success.",20,marketing mix and strategy,,,,,,13,TRUE,22
June 2021,Define the term ‘demand’.,2,market,,,,,,2,TRUE,20
June 2021,"Using this data and Extract B, calculate, to two decimal places, the total percentage market share of the top three chocolate manufacturers. You are advised to show your working.",4,meeting customer needs,,,,,,2,TRUE,20
June 2021,"Analyse two factors that are likely to determine the pricing strategy used by
chocolate manufacturers.",6,marketing mix and strategy,,,,,,3,TRUE,20
June 2021,Discuss the benefits to a business such as Ferrero of motivating its employees.,8,managing people,,,,,,4,TRUE,20
June 2021,Assess the advantages of market segmentation to a business in the chocolate market.,10,meeting customer needs,,,,,,5,TRUE,20
June 2021,Define the term ‘customer loyalty’.,2,marketing mix and strategy,,,,,,7,TRUE,20
June 2021,Analyse two factors that may lead to a change in the supply of delivery services in Turkey.,6,market,,,,,,8,TRUE,20
June 2021,"Discuss the benefits, for a business such as Kapgel, of using part-time and
temporary employees.",8,managing people,,,,,,9,TRUE,20
June 2021,"Assess the extent to which product is the most important element of the
marketing mix for on-demand delivery businesses in Turkey.",10,marketing mix and strategy,,,,,,10,TRUE,20
June 2021,"Evaluate whether TOMS should focus on cost efficiency or social objectives to survive
in the markets in which it operates.",20,entreprenuers and leaders,,,,,,12,TRUE,20
Nov 2021,"Using the data in Extract A, calculate the change in value of sugar-free sweets
sales predicted between 2018 and 2023. State your answer to 2 decimal places.
You are advised to show your working.",4,meeting customer needs,,,,,,4,TRUE,20
Nov 2021,"Explain one way in which a business such as Bon Bon’s adds value to the products
it sells.",4,marketing mix and strategy,,,,,,5,TRUE,20
Nov 2021,Assess a likely trade-off for Bon Bon’s of not having ‘mass market ambition.’,10,meeting customer needs,,,,,,6,TRUE,20
Nov 2021,Assess the possible consequences for Bon Bon’s continuing to sell ‘Traffic Light Lollies’.,12,meeting customer needs,,,,,,8,TRUE,20
Nov 2021,"Evaluate these two options and recommend which one is more likely to improve
Bon Bon’s profitability.",20,meeting customer needs,,,,,,10,TRUE,20
Nov 2021,"Using the data in Extract D, calculate the percentage growth in the total
McDonald’s restaurants operating in Brazil, between 2012 and 2018. State your
answer to 2 decimal places.
You are advised to show your working.",4,meeting customer needs,,,,,,15,TRUE,20
Nov 2021,"Explain how one of Ansoff’s generic strategies might be applied to Taco Bell’s
decision to enter the Brazilian market.",4,marketing mix and strategy,,,,,,16,TRUE,20
Nov 2021,"Using the data from Extract F, assess the impact of the exchange rate movements
between January 2019 and April 2019 on the total costs of a business, such as
Tropicana, which imports to the USA from Brazil.",10,Unit2,,,,,,17,,
Nov 2021,"Assess whether legal controls are the most effective way of controlling the actions
of multinational companies in countries, such as Brazil.",12,Unit2,,,,,,19,,
Nov 2021,"Evaluate these two options and recommend which one is most suitable for
Taco Bell to increase its sales in Brazil.",20,meeting customer needs,,,,,,21,TRUE,20
Oct 2019,Define the term ‘distribution channels’.,2,marketing mix and strategy,,,,,,2,TRUE,22
Oct 2019,"Calculate the percentage change in quantity demanded of Coca-Cola.
You are advised to show your working.",4,market,,,,,,2,TRUE,22
Oct 2019,Analyse two benefits of strong branding for Coca-Cola.,6,marketing mix and strategy,,,,,,3,TRUE,22
Oct 2019,"Discuss the benefits for Coca-Cola of providing its workers with financial
incentives.",8,managing people,,,,,,4,TRUE,22
Oct 2019,"Assess the advantages for a company, such as Coca-Cola, of using face-to-face
surveys when collecting market data.",10,meeting customer needs,,,,,,5,TRUE,22
Oct 2019,Define the term ‘competitive pricing’.,2,marketing mix and strategy,,,,,,7,TRUE,22
Oct 2019,"Explain one reason why product may be considered the most important element
of the marketing mix for Emirates.",4,marketing mix and strategy,,,,,,7,TRUE,22
Oct 2019,"Analyse two benefits for a company, such as Emirates, of using social media.",6,marketing mix and strategy,,,,,,8,TRUE,22
Oct 2019,Discuss how competition in the airline market may affect customers.,8,market,,,,,,9,TRUE,22
Oct 2019,"Assess the extent to which market mapping may have been useful to Emirates in
growing its business.",10,meeting customer needs,,,,,,10,TRUE,22
Oct 2019,"Evaluate whether the change in the organisational structure at Tata Motors is likely to
lead to an increase in its efficiency.",20,managing people,,,,,,12,TRUE,22
May 2020_v2,What is meant by business to business (B2B) marketing?,2,marketing mix and strategy,,,,,,3,TRUE,26
May 2020_v2,What is meant by sole trader?,2,Unit2,,,,,,3,,
May 2020_v2,Explain how market orientation could benefit Hydra Creative.,4,meeting customer needs,,,,,,4,TRUE,26
May 2020_v2,Explain one reason why Hydra Creative might use an extension strategy.,4,marketing mix and strategy,,,,,,5,TRUE,26
May 2020_v2,"Assess two difficulties Ryan may face as he develops from an entrepreneur
to a leader.",8,entreprenuers and leaders,,,,,,6,TRUE,26
May 2020_v2,Assess the likely benefits to Hydra Creative of becoming a private limited company.,10,Unit2,,,,,,8,,
May 2020_v2,State two examples of entrepreneurial motives.,2,entreprenuers and leaders,,,,,,11,TRUE,26
May 2020_v2,What is meant by sponsorship?,2,marketing mix and strategy,,,,,,11,TRUE,26
May 2020_v2,"Explain how opportunity cost might have applied to Zack when he chose to set up
Ape Snacks.",4,entreprenuers and leaders,,,,,,12,TRUE,26
May 2020_v2,"Using the data from Extract B, construct a supply and demand diagram to
illustrate the impact of ageing coconut trees on the existing coconut market.",4,market,,,,,,13,TRUE,26
May 2020_v2,Assess two factors that could cause a change in demand for Ape Snacks.,8,market,,,,,,14,TRUE,26
May 2020_v2,"Assess whether social trends might affect the design mix for Ape Snacks’
coconut snacks.",10,marketing mix and strategy,,,,,,16,TRUE,26
May 2020_v2,"Evaluate these two options and recommend which option is most likely to prevent
further business failure.",20,Unit2,,,,,,19,,
Oct 2021,Define the term ‘niche market’.,2,meeting customer needs,meeting customer needs,,,,,2,FALSE,22
Oct 2021,"Construct a supply and demand diagram to show the impact of a decrease in the
price of milk and cream on the ice cream market.",4,market,market,,,,,2,FALSE,22
Oct 2021,"Analyse two factors that might influence the price elasticity of demand (PED) for
ice cream.",6,market,market,,,,,3,FALSE,22
Oct 2021,Discuss the importance of product differentiation to the success of Oppo.,8,meeting customer needs,meeting customer needs,,,,,4,FALSE,22
Oct 2021,"Assess the advantages to Oppo of using these methods when developing
its brand.",10,marketing mix and strategy,marketing mix and strategy,,,,,5,FALSE,22
Oct 2021,Define the term ‘social media’.,2,marketing mix and strategy,marketing mix and strategy,,,,,7,FALSE,22
Oct 2021,"Using the above data, calculate the total amount of redundancy payments made
by Deutsche Bank. You are advised to show your workings.",4,managing people,managing people,,,,,8,FALSE,22
Oct 2021,"Analyse two possible benefits for Deutsche Bank of using collective bargaining to
negotiate redundancy payments with its employees.",6,managing people,managing people,,,,,9,FALSE,22
Oct 2021,"Discuss the advantages for Deutsche Bank of using television advertising in its
marketing campaign.",8,marketing mix and strategy,marketing mix and strategy,,,,,10,FALSE,22
Oct 2021,"Assess the impact on Deutsche Bank of the changes made to its
organisational structure.",10,managing people,managing people,,,,,11,FALSE,22
Oct 2021,"Evaluate the extent to which the recruitment and training methods used by Japanese
businesses may help them compete in the global artificial intelligence (AI) industry.",20,managing people,managing people,,,,,13,FALSE,22
Jan 2022,Define the term ‘quantitative data’.,2,meeting customer needs,meeting customer needs,,,,,2,FALSE,22
Jan 2022,"Construct a supply and demand diagram to show the impact of increasing
publicity on the biodegradable packaging market.",4,market,market,,,,,2,FALSE,22
Jan 2022,"Analyse two entrepreneurial characteristics shown by Vaibhav Anant that may
have helped Bambrew to succeed.",6,entreprenuers and leaders,entreprenuers and leaders,,,,,3,FALSE,22
Jan 2022,"Discuss the benefits for Vaibhav Anant of using secondary market research when
starting his business.",8,meeting customer needs,meeting customer needs,,,,,4,FALSE,22
Jan 2022,"Assess if there is likely to be a trade-off between an ethical stance and profit for
Bambrew.",10,entreprenuers and leaders,entreprenuers and leaders,,,,,5,FALSE,22
Jan 2022,Define the term ‘social trends’.,2,meeting customer needs,meeting customer needs,,,,,7,FALSE,22
Jan 2022,"Using the data, calculate the increase in monthly revenue for Aldi between
January 2019 and January 2020. You are advised to show your workings.",4,meeting customer needs,meeting customer needs,,,,,8,FALSE,22
Jan 2022,"Analyse two benefits for Aldi of having employee welfare as one of its main
business objectives.",6,entreprenuers and leaders,entreprenuers and leaders,,,,,9,FALSE,22
Jan 2022,Assess the benefits for Aldi of sponsoring the UK Olympic team.,8,marketing mix and strategy,marketing mix and strategy,,,,,10,FALSE,22
Jan 2022,Assess the likely impact of price comparison websites on supermarkets in the UK.,10,meeting customer needs,meeting customer needs,,,,,11,FALSE,22
Jan 2022,"Evaluate the extent to which Nike’s distribution strategy is likely to contribute to its
future success.",20,marketing mix and strategy,marketing mix and strategy,,,,,13,FALSE,22
June 2021,Define the term ‘demand’.,2,market,market,,,,,2,FALSE,20
June 2021,"Using this data and Extract B, calculate, to two decimal places, the total
percentage market share of the top three chocolate manufacturers. You are
advised to show your working.",4,meeting customer needs,meeting customer needs,,,,,2,FALSE,20
June 2021,"Analyse two factors that are likely to determine the pricing strategy used by
chocolate manufacturers.",6,marketing mix and strategy,marketing mix and strategy,,,,,3,FALSE,20
June 2021,Discuss the benefits to a business such as Ferrero of motivating its employees.,8,managing people,managing people,,,,,4,FALSE,20
June 2021,Assess the advantages of market segmentation to a business in the chocolate market.,10,marketing mix and strategy,marketing mix and strategy,,,,,5,FALSE,20
June 2021,Define the term ‘customer loyalty’.,2,marketing mix and strategy,marketing mix and strategy,,,,,7,FALSE,20
June 2021,Analyse two factors that may lead to a change in the supply of delivery services in Turkey.,6,market,market,,,,,8,FALSE,20
June 2021,"Discuss the benefits, for a business such as Kapgel, of using part-time and
temporary employees.",8,managing people,managing people,,,,,9,FALSE,20
June 2021,"Assess the extent to which product is the most important element of the
marketing mix for on-demand delivery businesses in Turkey.",10,marketing mix and strategy,marketing mix and strategy,,,,,10,FALSE,20
June 2021,"Evaluate whether TOMS should focus on cost efficiency or social objectives to survive
in the markets in which it operates.",20,entreprenuers and leaders,entreprenuers and leaders,,,,,12,FALSE,20
Nov 2021,"Using the data in Extract A, calculate the change in value of sugar-free sweets
sales predicted between 2018 and 2023. State your answer to 2 decimal places.
You are advised to show your working.",4,meeting customer needs,meeting customer needs,,,,,4,FALSE,20
Nov 2021,"Explain one way in which a business such as Bon Bon’s adds value to the products
it sells.",4,meeting customer needs,meeting customer needs,,,,,5,FALSE,20
Nov 2021,Assess a likely trade-off for Bon Bon’s of not having ‘mass market ambition.’,10,meeting customer needs,meeting customer needs,,,,,6,FALSE,20
Nov 2021,Assess the possible consequences for Bon Bon’s continuing to sell ‘Traffic Light Lollies’.,12,Unit2,Unit2,,,,,8,FALSE,
Nov 2021,"Evaluate these two options and recommend which one is more likely to improve
Bon Bon’s profitability.",20,marketing mix and strategy,marketing mix and strategy,,,,,10,FALSE,20
Nov 2021,"Using the data in Extract D, calculate the percentage growth in the total
McDonald’s restaurants operating in Brazil, between 2012 and 2018. State your
answer to 2 decimal places.
You are advised to show your working.",4,meeting customer needs,meeting customer needs,,,,,15,FALSE,20
Nov 2021,"Explain how one of Ansoff’s generic strategies might be applied to Taco Bell’s
decision to enter the Brazilian market.",4,marketing mix and strategy,marketing mix and strategy,,,,,16,FALSE,20
Nov 2021,"Using the data from Extract F, assess the impact of the exchange rate movements
between January 2019 and April 2019 on the total costs of a business, such as
Tropicana, which imports to the USA from Brazil.",10,Unit2,Unit2,,,,,17,FALSE,
Nov 2021,"Assess whether legal controls are the most effective way of controlling the actions
of multinational companies in countries, such as Brazil.",12,Unit2,Unit2,,,,,19,FALSE,
Nov 2021,"Evaluate these two options and recommend which one is most suitable for
Taco Bell to increase its sales in Brazil.",20,meeting customer needs,meeting customer needs,,,,,21,FALSE,20
Oct 2019,Define the term ‘distribution channels’.,2,marketing mix and strategy,marketing mix and strategy,,,,,2,FALSE,22
Oct 2019,"Calculate the percentage change in quantity demanded of Coca-Cola.
You are advised to show your working.",4,market,market,,,,,2,FALSE,22
Oct 2019,Analyse two benefits of strong branding for Coca-Cola.,6,marketing mix and strategy,marketing mix and strategy,,,,,3,FALSE,22
Oct 2019,"Discuss the benefits for Coca-Cola of providing its workers with financial
incentives.",8,managing people,managing people,,,,,4,FALSE,22
Oct 2019,"Assess the advantages for a company, such as Coca-Cola, of using face-to-face
surveys when collecting market data.",10,meeting customer needs,meeting customer needs,,,,,5,FALSE,22
Oct 2019,Define the term ‘competitive pricing’.,2,marketing mix and strategy,marketing mix and strategy,,,,,7,FALSE,22
Oct 2019,"Explain one reason why product may be considered the most important element
of the marketing mix for Emirates.",4,marketing mix and strategy,marketing mix and strategy,,,,,7,FALSE,22
Oct 2019,"Analyse two benefits for a company, such as Emirates, of using social media.",6,marketing mix and strategy,marketing mix and strategy,,,,,8,FALSE,22
Oct 2019,Discuss how competition in the airline market may affect customers.,8,meeting customer needs,meeting customer needs,,,,,9,FALSE,22
Oct 2019,"Assess the extent to which market mapping may have been useful to Emirates in
growing its business.",10,meeting customer needs,meeting customer needs,,,,,10,FALSE,22
Oct 2019,"Evaluate whether the change in the organisational structure at Tata Motors is likely to
lead to an increase in its efficiency.",20,managing people,managing people,,,,,12,FALSE,22
May 2020_v2,What is meant by business to business (B2B) marketing?,2,marketing mix and strategy,marketing mix and strategy,,,,,3,FALSE,26
May 2020_v2,What is meant by sole trader?,2,Unit2,Unit2,,,,,3,FALSE,
May 2020_v2,Explain how market orientation could benefit Hydra Creative.,4,meeting customer needs,meeting customer needs,,,,,4,FALSE,26
May 2020_v2,Explain one reason why Hydra Creative might use an extension strategy.,4,marketing mix and strategy,marketing mix and strategy,,,,,5,FALSE,26
May 2020_v2,"Assess two difficulties Ryan may face as he develops from an entrepreneur
to a leader.",8,entreprenuers and leaders,entreprenuers and leaders,,,,,6,FALSE,26
May 2020_v2,Assess the likely benefits to Hydra Creative of becoming a private limited company.,10,Unit2,Unit2,,,,,8,FALSE,
May 2020_v2,State two examples of entrepreneurial motives.,2,entreprenuers and leaders,entreprenuers and leaders,,,,,11,FALSE,26
May 2020_v2,What is meant by sponsorship?,2,marketing mix and strategy,marketing mix and strategy,,,,,11,FALSE,26
May 2020_v2,"Explain how opportunity cost might have applied to Zack when he chose to set up
Ape Snacks.",4,entreprenuers and leaders,entreprenuers and leaders,,,,,12,FALSE,26
May 2020_v2,"Using the data from Extract B, construct a supply and demand diagram to
illustrate the impact of ageing coconut trees on the existing coconut market.",4,market,market,,,,,13,FALSE,26
May 2020_v2,Assess two factors that could cause a change in demand for Ape Snacks.,8,market,market,,,,,14,FALSE,26
May 2020_v2,"Assess whether social trends might affect the design mix for Ape Snacks’
coconut snacks.",10,marketing mix and strategy,marketing mix and strategy,,,,,16,FALSE,26
May 2020_v2,"Evaluate these two options and recommend which option is most likely to prevent
further business failure.",20,Unit2,Unit2,,,,,19,FALSE,
1,Explain two likely reasons why Shivani’s jewellery business’s turnover has increased.,6,meeting customer needs,meeting customer needs,,,,,11,FALSE,6
1,"Explain why it might be necessary for Shivani to distinguish carefully between
turnover and operating profit.",4,Unit2,Unit2,,,,,12,FALSE,
1,"Assess why providing added value might be particularly important for any Fold
enterprise.",8,marketing mix and strategy,marketing mix and strategy,,,,,13,FALSE,6
1,"Discuss the extent to which an appreciation in the £ sterling might affect UK retailers
of Fairtrade products, such as the Co-operative.",8,Unit2,Unit2,,,,,14,FALSE,
1,Shivani and the price of gold,12,marketing mix and strategy,marketing mix and strategy,,,,,15,FALSE,6
1,The ecoCafé and the demand for Fairtrade products,12,market,market,,,,,16,FALSE,6
2,Briefly give two reasons to explain why Mike might have prepared a business plan.,6,Unit2,Unit2,,,,,12,FALSE,
2,"Examine why the primary research findings provided in Evidence B might be
considered as insufficient as a basis for the Morris Brown CLC developing a leisure
library.",4,meeting customer needs,meeting customer needs,,,,,13,FALSE,5
2,"Discuss the extent to which the motivational objectives of Mike Watson might differ
from those of a typical private sector entrepreneur.",8,entreprenuers and leaders,entreprenuers and leaders,,,,,14,FALSE,5
2,"Evaluate the likely value to Mike Watson of using market mapping to help examine
other markets in the neighbouring towns.",8,meeting customer needs,meeting customer needs,,,,,15,FALSE,5
2,"Assess the likely implications for a private sector leisure business, such as David Lloyd
Leisure, of changes in any two external economic influences.",12,Unit2,Unit2,,,,,16,FALSE,
3,"Evaluate the likely value to Mike Watson of using market mapping to help examine
other markets in the neighbouring towns.",8,meeting customer needs,meeting customer needs,,,,,15,FALSE,1
4,"Using the case study, explain the difference between entrepreneurial characteristics and
entrepreneurial motives.",6,entreprenuers and leaders,entreprenuers and leaders,,,,,11,FALSE,5
4,"Explain why it was a good idea for Maria to locate her business in the Sadlers Wells
area of Islington, London.",4,meeting customer needs,meeting customer needs,,,,,12,FALSE,5
4,Assess the suitability of this method of financing for Maria and Cebu Home.,8,Unit2,Unit2,,,,,13,FALSE,
4,"Evaluate the possible consequences to Cebu Home of Maria using this approach to
pricing her products.",8,marketing mix and strategy,marketing mix and strategy,,,,,14,FALSE,5
4,"Exchange rates and interest rates are economic external influences.
Assess their likely significance to Cebu Home.",12,Unit2,Unit2,,,,,15,FALSE,
5,"Explain how Marie could have made effective use of both primary and secondary
market research methods to support her business start-up.",6,meeting customer needs,meeting customer needs,,,,,11,FALSE,6
5,"Explain the relationship between Rieve’s sales revenue and its gross profit margin on
footwear.",4,Unit2,Unit2,,,,,12,FALSE,
5,"Marie could have approached members of her own family for the £50,000 start-up
capital, but chose not to do so. Evaluate Marie’s decision.",8,Unit2,Unit2,,,,,13,FALSE,
5,Assess the likely impact of the following two factors on the supply of shoes in the UK: changes in technology,4,market,market,,,,,14,FALSE,6
5,Assess the likely impact of the following two factors on the supply of shoes in the UK: actions of the UK government.,4,market,market,,,,,14,FALSE,6
5,Evaluate the case for Marie setting up a new shop in Brighton.,12,Unit2,Unit2,,,,,15,FALSE,
6,Explain two ways changes in interest rates might affect Peter’s business.,6,Unit2,Unit2,,,,,11,FALSE,
6,"Analyse one reason why Peter’s resilience might be important to the long-term
success of Complete Car Cosmetics.",4,entreprenuers and leaders,entreprenuers and leaders,,,,,12,FALSE,5
6,"Discuss the likely value of Peter conducting product trials when he first set up his
business.",8,meeting customer needs,meeting customer needs,,,,,13,FALSE,5
6,Evaluate the usefulness of cash-flow forecasting to Peter.,8,Unit2,Unit2,,,,,14,FALSE,
6,"Recommend whether or not it would have been appropriate for Complete Car Cosmetics
to have become a private limited company in 2010.",12,Unit2,Unit2,,,,,15,FALSE,
7,Explain two ways Muddy Boots Foods Ltd could increase its operating profits.,6,Unit2,Unit2,,,,,11,FALSE,
7,"Analyse one reason to explain why Miranda’s ‘paternalistic’ leadership might be
important to the long term success of Muddy Boots Foods Ltd.",4,managing people,managing people,,,,,12,FALSE,5
7,"Assess the likely importance to Miranda and Roland of making the highest level of
profits from Muddy Boots Foods Ltd.",8,entreprenuers and leaders,entreprenuers and leaders,,,,,13,FALSE,5
7,Evaluate the likely value of primary research methods to Muddy Boots Foods Ltd.,8,meeting customer needs,meeting customer needs,,,,,14,FALSE,5
7,"Assess the extent to which the continued success of Muddy Boots Foods Ltd might
affect any two stakeholder groups.",12,Unit2,Unit2,,,,,15,FALSE,
8,Explain two factors that could affect the demand for Anna’s cakes.,6,market,market,,,,,12,FALSE,5
8,"With reference to the case study, explain one entrepreneurial motive which has contributed to Anna's success.",4,entreprenuers and leaders,entreprenuers and leaders,,,,,13,FALSE,5
8,Assess whether or not Anna should use a bank overdraft to help her to finance new product development.,8,Unit2,Unit2,,,,,14,FALSE,
8,Evaluate the likely effect of inflation on Button’s Bakery.,8,Unit2,Unit2,,,,,15,FALSE,
8,"Evaluate the likely value of the following to Button’s Bakery:

(a) Marketing mapping.",6,meeting customer needs,meeting customer needs,,,,,16,FALSE,5
9,"Using Evidence A, distinguish between entrepreneurial characteristics and
entrepreneurial motives.",6,entreprenuers and leaders,entreprenuers and leaders,,,,,11,FALSE,5
9,Explain how the concept of opportunity cost applies to David.,4,entreprenuers and leaders,entreprenuers and leaders,,,,,12,FALSE,5
9,Evaluate whether an increase in interest rates is likely to affect David’s business.,8,Unit2,Unit2,,,,,13,FALSE,
9,Assess two ways David’s salon might achieve competitive advantage.,8,meeting customer needs,meeting customer needs,,,,,14,FALSE,5
9,"Evaluate the likely value of each of the following to David before making his decision: (a) primary market research
(a) primary market research",6,meeting customer needs,meeting customer needs,,,,,16,FALSE,5
10,Explain two factors that could affect the supply of SuperJam’s products.,6,market,market,,,,,11,FALSE,6
10,Analyse one reason why it might be important for Fraser to differentiate his business.,4,meeting customer needs,meeting customer needs,,,,,12,FALSE,6
10,Assess whether or not having product trials benefits a company such as SuperJam.,8,meeting customer needs,meeting customer needs,,,,,13,FALSE,6
10,Assess the likely value to Fraser of SuperJam being a limited company.,8,Unit2,Unit2,,,,,14,FALSE,
10,"Evaluate the extent to which each of the following might affect the continued
success of SuperJam:
(a) a rise in the level of unemployment in Scotland",6,Unit2,Unit2,,,,,16,FALSE,
10,"Evaluate the extent to which each of the following might affect the continued
success of SuperJam: (b) an appreciation in the value of £ sterling. 
",6,Unit2,Unit2,,,,,17,FALSE,
11,Analyse two non-price factors that could increase the demand for PROVIDE’s products.,6,market,market,,,,,12,FALSE,6
11,Explain one possible benefit of Matthew’s leadership style to PROVIDE.,4,managing people,managing people,,,,,13,FALSE,6
11,Assess the likely value of ‘pop-up’ retailing to new businesses such as PROVIDE.,8,Unit2,Unit2,,,,,14,FALSE,
11,Evaluate Matthew’s choice of financing for his start-up capital.,8,Unit2,Unit2,,,,,15,FALSE,
11,"With reference to Table 1, assess whether or not PROVIDE would be affected by:
(a) an increase in UK inflation rates",6,Unit2,Unit2,,,,,16,FALSE,
11,"With reference to Table 1, assess whether or not PROVIDE would be affected by:
(b) a decrease in UK Government spending",6,Unit2,Unit2,,,,,17,FALSE,
12,"Analyse two non-price factors that could affect the supply of Speed One Sports Ltd’s
products and/or services.",6,market,market,,,,,12,FALSE,6
12,"Using the case study, explain one reason why it might be important for Tony to be
self-confident.",4,entreprenuers and leaders,entreprenuers and leaders,,,,,13,FALSE,6
12,Assess whether profit is a key motive for Tony as the owner of Speed One Sports Ltd.,8,entreprenuers and leaders,entreprenuers and leaders,,,,,14,FALSE,6
12,Evaluate how useful break-even analysis is likely to be to Speed One Sports Ltd.,8,Unit2,Unit2,,,,,15,FALSE,
12,"Assess the extent to which each of the following might affect Speed One Sports Ltd:
(a) a rise in UK inflation",6,Unit2,Unit2,,,,,16,FALSE,
12,Assess the extent to which each of the following might affect Speed One Sports Ltd: (b) an appreciation in the exchange rate of pound sterling (£).,6,Unit2,Unit2,,,,,17,FALSE,
13,Analyse two non-price factors that could affect the supply of Arrive ’n’ Shine’s services.,6,market,market,,,,,14,FALSE,6
13,"Using the case study, explain how Dean’s business, Arrive ’n’ Shine, adds value.",4,meeting customer needs,meeting customer needs,,,,,15,FALSE,6
13,"Evaluate the importance of income as a key motive for Dean to become
an entrepreneur.",8,entreprenuers and leaders,entreprenuers and leaders,,,,,16,FALSE,6
13,Evaluate why product trials might be useful to Arrive ‘n’ Shine.,8,marketing mix and strategy,marketing mix and strategy,,,,,17,FALSE,6
13,"Assess the likely value of each of the following to Arrive ‘n’ Shine:
(a) trade credit",6,Unit2,Unit2,,,,,18,FALSE,
13,"Assess the likely value of each of the following to Arrive ‘n’ Shine:
(b) an overdraft",6,Unit2,Unit2,,,,,19,FALSE,
14,"Using Evidence A, distinguish between entrepreneurial characteristics and
entrepreneurial motives.",6,entreprenuers and leaders,entreprenuers and leaders,,,,,11,FALSE,6
14,Explain how the concept of opportunity cost applies to David.,4,entreprenuers and leaders,entreprenuers and leaders,,,,,12,FALSE,6
14,Evaluate whether an increase in interest rates is likely to affect David’s business.,8,Unit2,Unit2,,,,,13,FALSE,
14,Assess two ways David’s salon might achieve competitive advantage.,8,meeting customer needs,meeting customer needs,,,,,14,FALSE,6
14,"Evaluate the likely value of each of the following to David before making his decision:
(b) secondary market research",6,meeting customer needs,meeting customer needs,,,,,15,FALSE,6
14,"Evaluate the likely value of each of the following to David before making his decision:
(b) a business plan.",6,Unit2,Unit2,,,,,16,FALSE,
15,Briefly give two reasons to explain why Mike might have prepared a business plan.,6,Unit2,Unit2,,,,,12,FALSE,
15,"Evaluate the likely value to Mike Watson of using market mapping to help examine
other markets in the neighbouring towns.",8,meeting customer needs,meeting customer needs,,,,,15,FALSE,3
15,"Assess the likely implications for a private sector leisure business, such as David Lloyd
Leisure, of changes in any two external economic influences.",12,Unit2,Unit2,,,,,16,FALSE,
16,"Assess the likely implications for a private sector leisure business, such as David Lloyd
Leisure, of changes in any two external economic influences.",12,Unit2,Unit2,,,,,16,FALSE,
17,Briefly explain two reasons why Levi Roots conducted product trials.,6,meeting customer needs,meeting customer needs,,,,,11,FALSE,5
17,"Explain why it was necessary for Levi Roots to seek Venture Capital to help finance
the growth of his business.",4,Unit2,Unit2,,,,,11,FALSE,
17,Assess the likely value of break-even analysis to Levi Roots.,8,Unit2,Unit2,,,,,12,FALSE,
17,"Assess the likely implications for Reggae Reggae Sauce of being market
orientated.",8,meeting customer needs,meeting customer needs,,,,,13,FALSE,5
17,"Evaluate the likely effects on two stakeholder groups of Reggae Reggae Sauce
becoming a plc.",12,Unit2,Unit2,,,,,14,FALSE,
18,"Analyse one reason why Advanced Conditioning Ltd might experience an
increase in sales volume.",3,Unit2,Unit2,,,,,11,FALSE,
18,"Analyse one reason why Advanced Conditioning Ltd might experience an
increase in variable costs.",3,Unit2,Unit2,,,,,11,FALSE,
18,"Explain one reason why it might have been necessary for Marvin to prepare a
business plan for Advanced Conditioning Ltd.",4,Unit2,Unit2,,,,,12,FALSE,
18,Evaluate the likely value of product trials to Fitness Retreat Ltd.,8,marketing mix and strategy,marketing mix and strategy,,,,,13,FALSE,7
18,Assess whether or not an increase in unemployment might affect Fitness Retreat Ltd.,8,Unit2,Unit2,,,,,14,FALSE,
18,"Evaluate the extent to which Fitness Retreat Ltd might be affected by
(a) limited liability",6,Unit2,Unit2,,,,,15,FALSE,
18,Evaluate the extent to which Fitness Retreat Ltd might be affected by (b) changes in government taxation policy.,6,Unit2,Unit2,,,,,16,FALSE,
